ISSN UNIFICADO;ISSN;TÍTULO;ID ÁREA MÃE ;ÁREA MÃE
;0001-4346;MATHEMATICAL NOTES;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0001-8678;ADVANCES IN APPLIED PROBABILITY;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0001-8708;ADVANCES IN MATHEMATICS (NEW YORK. 1965);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0001-9054;AEQUATIONES MATHEMATICAE (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0002-5232;ALGEBRA AND LOGIC;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0002-9327;AMERICAN JOURNAL OF MATHEMATICS (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0002-9890;THE AMERICAN MATHEMATICAL MONTHLY;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0002-9920;AMERICAN MATHEMATICAL SOCIETY. NOTICES;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1088-6826;0002-9939;PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1088-6850;0002-9947;TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0003-1305;THE AMERICAN STATISTICIAN;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0003-486X;ANNALS OF MATHEMATICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0003-6811;APPLICABLE ANALYSIS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1420-8938;0003-889X;ARCHIV DER MATHEMATIK (PRINTED ED.);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0003-9527;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0004-2080;ARKIV FOR MATEMATIK;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0004-5411;JOURNAL OF THE ASSOCIATION FOR COMPUTING MACHINERY;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0004-9727;BULLETIN OF THE AUSTRALIAN MATHEMATICAL SOCIETY;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1541-0420;0006-341X;BIOMETRICS (WASHINGTON);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0006-3835;BIT NUMERICAL MATHEMATICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0007-4497;BULLETIN DES SCIENCES MATHÉMATIQUES (PARIS. 1885);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0008-0624;CALCOLO (ROMA. TESTO STAMPATO);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0008-414X;CANADIAN JOURNAL OF MATHEMATICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1496-4287;0008-4395;CANADIAN MATHEMATICAL BULLETIN;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0009-725X;RENDICONTI DEL CIRCOLO MATEMATICO DI PALERMO (TESTO STAMPATO);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0010-0757;COLLECTANEA MATHEMATICA;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0010-1354;COLLOQUIUM MATHEMATICUM;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0010-2571;COMMENTARII MATHEMATICI HELVETICI (PRINTED ED.);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0010-2628;COMMENTATIONES MATHEMATICAE UNIVERSITATIS CAROLINAE (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0010-3616;COMMUNICATIONS IN MATHEMATICAL PHYSICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0010-3640;COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0010-437X;COMPOSITIO MATHEMATICA (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0011-4642;CZECHOSLOVAK MATHEMATICAL JOURNAL (PRAGUE, PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0012-365X;DISCRETE MATHEMATICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0012-7094;DUKE MATHEMATICAL JOURNAL;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
