sigla;evento;Qualis_Final;
<'Programming'>;International Conference on the Art, Science, and Engineering of Programming;B3;
3DOR;Eurographics Workshop on 3D Object Retrieval;B3;
3DUI;IEEE Symposium on 3D User Interfaces;A3;
3DV;International Conference on 3D Vision;A1;
3ICT;International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies;B2;
5GWF;IEEE 5G World Forum;B1;
A-TEST;International Workshop on Automating Test Case Design, Selection and Evaluation;B2;
AAAI;AAAI Conference on Artificial Intelligence;A1;
AAMAS;International Conference on Autonomous Agents and Multiagent Systems;A1;
ABZ;International ABZ Conference ASM, Alloy, B, TLA, VDM, Z;B3;
AC-IADIS;IADIS International Conference on Applied Computing;B4;
ACC;American Control Conference;A1;
ACCV;Asian Conference on Computer Vision;A1;
ACE;International Conference on Advances in Computer Entertainment Technology;B2;
ACHI-IARIA;IARIA International Conference on Advances in Computer-Human Interactions;B4;
ACII;International Conference on Affective Computing and Intelligent Interaction;A4;
ACIRS;Asia-Pacific Conference on Intelligent Robot Systems;B2;
ACISP;Australasian Conference on Information Security and Privacy;A4;
ACIVS;Advanced Concepts for Intelligent Vision Systems;A4;
ACL;Annual Meeting of the Association for Computational Linguistics;A1;
ACM CC;Creativity & Cognition;B1;
ACM CHI PLAY;Annual Symposium on Computer-Human Interaction in Play;A2;
ACM IMX;ACM International Conference on Interactive Media Experiences;A3;
ACMIDC;ACM Internacional Conference on Interaction Design and Children;A2;
ACMMM;ACM International Conference on Multimedia;A1;
ACMSOCC;ACM Symposium on Cloud Computing;A2;
ACNS;Applied Cryptography and Network Security;A3;
ACRA;Australasian Conference on Robotics and Automation;B4;
ACSAC;Computer Security Applications Conference;A2;
ADBIS;East European Conference on Advances in Databases and Information Systems;A4;
ADHOC-NOW;International Conference on Ad-Hoc Networks and Wireless;B2;
ADMS;International Workshop on Accelerating Analytics and Data Management Systems Using Modern Processor and Storage Architectures;B4;
ADVANCE;International Workshop on Advances in ICT Infrastructures and Services;B4;
AES;International Convention of the Audio Engineering Society;B3;
AES-ICSA;AES International Conference on Semantic Audio;B1;
AFRICACRYPT;International Conference on Cryptology in Africa;A4;
AGILEGIS;Conference on Geographic Information Science;B3;
AH;Augmented Human International Conference;A3;
AHS;NASA/ESA Conference on Adaptive Hardware and Systems;B2;
AI;Canadian Conference on Artificial Intelligence;B1;
AIC;International Workshop on Artificial Intelligence and Cognition;B4;
AICCSA;ACS/IEEE International Conference on Computer Systems and Applications;A4;
AICT;International Conference on Application of Information and Communication Technologies;B1;
AICT-IARIA;IARIA Advanced International Conference on Telecommunications;B4;
AIED;International Conference on Artificial Intelligence in Education;A3;
AIES;AAAI/ACM Conference on AI, Ethics, and Society;A2;
AIIDE;AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment;A3;
AIM;IEEE/ASME International Conference on Advanced Intelligent Mechatronics;A4;
AIME;Conference on Artificial Intelligence in Medicine;B3;
AIML;Advances in Modal Logic;B2;
AIMS;International Conference on Autonomous Infrastructure, Management and Security;B3;
AINA;IEEE International Conference on Advanced Information Networking and Applications;A3;
AINAW;IEEE International Conference on Advanced Information Networking and Applications Workshops;B3;
AIPR;Applied Imagery Pattern Recognition Workshop;B1;
AISTATS;International Conference on Artificial Intelligence and Statistics;A1;
AITest;IEEE International Conference On Artificial Intelligence Testing;B2;
AITM;Conference on Advanced Information Technologies for Management;B4;
AlCoB;International Conference on Algorithms for Computational Biology;B2;
ALENEX;SIAM Symposium on Algorithm Engineering and Experiments;A4;
ALIO/EURO;Joint ALIO/EURO International Conference on Applied Combinatorial Optimization;B4;
ALLERTON;Allerton Conference on Communication, Control, and Computing;A2;
AMCIS;Americas Conference on Information Systems;A2;
AMD;Workshop on Analysis of Movement Data;B4;
AMIA;Annual Symposium of the American Medical Informatics Association;A2;
AMW;Alberto Mendelzon International Workshop on Foundations of Data Management;B1;
ANCS;ACM/IEEE Symposium on Architectures for Networking and Communications Systems;A4;
ANPPOM;Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música;B3;
ANSS;Annual Simulation Symposium;B2;
ANT;International Conference on Ambient Systems, Networks and Technologies;B4;
ANTS;IEEE International Conference on Advanced Networks and Telecommuncations Systems;B1;
APCCAS;IEEE Asia Pacific Conference on Circuits and Systems;B1;
APKC;ACM on ASIA Public-Key Cryptography Workshop;B3;
APLAS;Asian Symposium on Programming Languages and Systems;A4;
APNOMS;Asia-Pacific Network Operations and Management Symposium;A4;
APPROX-RANDOM;International Conference on Approximation Algorithms for Combinatorial Optimization Problems;A3;
APWEB;Asia-Pacific Web Conference;B2;
ARC;International Symposium on Applied Reconfigurable Computing;B1;
ARCS;International Conference on Architecture of Computing Systems;B2;
ARES;International Conference on Availability, Reliability and Security;A2;
ARIC;International Workshop on Intelligent and Resilient Cities;B4;
ARM;Workshop on Adaptive and Reflective Middleware;B4;
ARSO;IEEE Workshop on Advanced Robotics and its Social Impacts;B2;
ASAP;IEEE International Conference on Application-specific Systems, Architectures and Processors;A4;
ASE;IEEE/ACM International Conference on Automated Software Engineering;A1;
ASIACCS;ACM ASIA Symposium on Information, Computer and Communications Security;A1;
ASIACRYPT;Annual International Conference on the Theory and Applications of Cryptology and Information Security;A1;
ASID;International Conference on Anti-counterfeiting, Security, and Identification in Communication;B3;
ASMS;Advanced Satellite Multimedia Systems Conference;B4;
ASONAM;IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining;A2;
ASP-DAC;Asia and South Pacific Design Automation Conference;A2;
ASPLOS;International Conference on Architectural Support for Programming Languages and Operating Systems;A1;
ASPRS;Annual Conference and International Lidar Mapping Forum;B4;
ASSETS;International ACM SIGACCESS Conference on Computers and Accessibility;A2;
AST;IEEE/ACM International Workshop on Automation of Software Testing;B3;
ASWEC;Australasian Software Engineering Conference;B3;
ASYNC;IEEE International Symposium on Asynchronous Circuits and Systems;B2;
ATC;USENIX Annual Technical Conference;A1;
Atech;International Conference on Agreement Technologies;B3;
ATS;Asian Test Symposium;B2;
ATT;International Workshop on Agents in Traffic and Transportation;B4;
AUDIOMOSTLY;Audio Mostly Conference;B1;
AusDM;Australasian Data Mining Conference;B3;
AVI;International Working Conference on Advanced Visual Interfaces;A4;
AVSS;IEEE International Conference on Advanced Video and Signal Based Surveillance;A2;
BCB;ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics;A2;
BCS-HCI;Conference of the British Computer Society Human Computer Interaction Specialist Group;B1;
BDCAT;IEEE/ACM International Conference on Big Data Computing, Applications and Technologies;B1;
BDCLOUD;International Conference on Big Data and Cloud Computing;A4;
BENCH;International Symposium on Benchmarking, Measuring and Optimization;B2;
BESC;International Conference on Behavior, Economic and Social Computing;B3;
BIATA;Bioinformatics: from Algorithms to Applications;B3;
BIBE;IEEE International Conference on BioInformatics and BioEngineering;A3;
BIBM;IEEE International Conference on Bioinformatics and Biomedicine;A2;
BICT;EAI International Conference on Bio-inspired Information an Communications Technologies;B2;
BIGDATA;IEEE International Conference on Big Data;A1;
BigDataSE;IEEE International Conference On Big Data Science And Engineering;A3;
BIGDATASERVICE;IEEE International Conference on Big Data Computing Service and Applications;A4;
BIGDSE;IEEE/ACM International Workshop on Big Data Software Engineering;B2;
