issn;periodico;Ajuste_SBC;link_scopus;percentil;Qualis_Final;data-atualizacao;data-tentativa;logs
1751-7575;ENTERPRISE INFORMATION SYSTEMS (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=10900153330;88;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0301-4207;RESOURCES POLICY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=110031;98;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1932-8184;IEEE SYSTEMS JOURNAL;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=11300153734;89;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1934-3396;CURRENT PROTOCOLS IN BIOINFORMATICS;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=11600154092;98;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1935-2735;PLOS NEGLECTED TROPICAL DISEASES (ONLINE);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=11900154404;89;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0144-929X;BEHAVIOUR & INFORMATION TECHNOLOGY (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=12125;94;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1548-7660;JOURNAL OF STATISTICAL SOFTWARE;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=12137;97;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0930-7575;CLIMATE DYNAMICS;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=12172;92;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0733-8724;JOURNAL OF LIGHTWAVE TECHNOLOGY (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=12178;88;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1569-190X;SIMULATION MODELLING PRACTICE AND THEORY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=12189;92;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1545-2255;STRUCTURAL CONTROL & HEALTH MONITORING (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=12246;93;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0167-739X;FUTURE GENERATION COMPUTER SYSTEMS;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=12264;99;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1350-1917;INFORMATION SYSTEMS JOURNAL;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=12321;97;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0925-7535;SAFETY SCIENCE;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=12332;97;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0029-5981;INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=12336;90;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0020-7225;INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=12349;97;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
